ID,Country,Name,Longitude,Latitude,Designation,Legal/Formal Instrument,Designation Type,Date Established,Domain,Status,Reported Area_ha,Reported Marine Area_ha,Management Plan,IUCN Management Categories,International Convention,State/Province/District,Management Effectiveness Model,Management Effectiveness Rating,Zonation,No Take,Reported No Take Area (ha),Source
4010500,Philippines,Pulang Yuta Fishery Refuge and Sanctuary,124.150083,9.59625,Fishery Refuge and Sanctuary - Local,Mun. Ord. No. 08 Series 2001,Local,1/1/2000,Marine,Designated,18.55,0,Yes,VI,No,Bohol,MEAT,Sustained,Unknown,All,18.55,CCEF
4022600,Philippines,Pulong Bato Fishery Refuge and Sanctuary,121.101944,13.533611,Fishery Refuge and Sanctuary - Local,,Local,1/1/2002,Marine,Designated,15.3,0,Unknown,VI,No,Batangas,MEAT,Strenghtened,Unknown,All,15.3,CCEF
4061400,Philippines,Punta Fuego Sanctuary,120.568834,14.136128,Marine Sanctuary - Local,,Local,1/1/2010,Marine,Designated,0,0,Unknown,Unknown,No,Batangas,Unknown,Unknown,Unknown,All,0,MSN-MSI
4053200,Philippines,Punta Ilag Fish Sanctuary,121.017167,13.44,Fish Sanctuary - Local,,Local,1/1/1995,Marine,Designated,15,0,Unknown,Unknown,No,Oriental Mindoro,MEAT,Established,Unknown,All,15,CCEF
4053300,Philippines,Punta Reef Riverside Fish Sanctuary,123.868295,8.107368,Fish Sanctuary - Local,,Local,1/1/2002,Marine,Designated,6,0,Yes,Unknown,No,Lanao del Norte,MEAT,Sustained,Unknown,All,6,CCEF
4053400,Philippines,Puntian-Diguisit Marine Protected Area,121.630861,15.758325,Marine Protected Area - Local,,Local,1/1/2006,Marine,Designated,54.83,0,Yes,Unknown,No,Aurora,MEAT,Established,Unknown,Unknown,0,CCEF
4012500,Philippines,Puntod Dacu Marine Protected Area,124.566517,9.876033,Marine Protected Area - Local,,Local,1/1/2006,Marine,Designated,58.1,0,Yes,Unknown,No,Bohol,MEAT,Established,Unknown,Unknown,0,CCEF
4053500,Philippines,Puntod Reef Marine Protected Area,119.31695,10.284612,Marine Protected Area - Local,,Local,1/1/2004,Marine,Designated,50,0,Unknown,Unknown,No,Palawan,MEAT,Established,Unknown,Unknown,0,CCEF
4024100,Philippines,Puntor Calubcub I Marine Sanctuary,121.439806,13.767639,Marine Sanctuary - Local,,Local,1/1/2006,Marine,Designated,83.6,0,Draft,Unknown,No,Batangas,MEAT,Established,Unknown,All,83.6,CCEF
4053600,Philippines,Putingbuhangin Marine Protected Area,121.445888,13.774244,Marine Protected Area - Local,,Local,1/1/2006,Marine,Designated,55.5,0,Draft,Unknown,No,Batangas,MEAT,Established,Unknown,Unknown,0,MSN-MSI
